config,trial,map_type,b,N,m,d,limit,limit_over_mean,covered_states,coverage_fraction,stored_chains,truncated_chains,truncation_fraction,distinct_endpoints,mean_stored_transitions,theory_truncation_fraction
dp-d8-l1024,10,des,16,65536,1024,8,1024,4.000,7438,0.113494873047,707,317,0.309570312500,35,107.019802,0.018172734641
dp-d8-l1024,10,random,16,65536,1024,8,1024,4.000,3686,0.056243896484,333,691,0.674804687500,34,84.096096,0.018172734641
dp-d4-l16,11,des,16,65536,1024,4,16,1.000,3901,0.059524536133,680,344,0.335937500000,476,7.001471,0.356074130452
dp-d4-l16,11,random,16,65536,1024,4,16,1.000,3652,0.055725097656,669,355,0.346679687500,439,7.013453,0.356074130452
dp-d4-l32,11,des,16,65536,1024,4,32,2.000,6227,0.095016479492,896,128,0.125000000000,492,10.876116,0.126788786377
dp-d4-l32,11,random,16,65536,1024,4,32,2.000,6120,0.093383789062,884,140,0.136718750000,467,11.013575,0.126788786377
dp-d4-l64,11,des,16,65536,1024,4,64,4.000,7585,0.115737915039,1019,5,0.004882812500,493,14.869480,0.016075396351
dp-d4-l64,11,random,16,65536,1024,4,64,4.000,7589,0.115798950195,1007,17,0.016601562500,468,15.041708,0.016075396351
dp-d6-l64,11,des,16,65536,1024,6,64,1.000,6163,0.094039916992,685,339,0.331054687500,170,26.959124,0.364986524244
dp-d6-l64,11,random,16,65536,1024,6,64,1.000,6157,0.093948364258,680,344,0.335937500000,162,27.257353,0.364986524244
dp-d6-l128,11,des,16,65536,1024,6,128,2.000,9031,0.137802124023,940,84,0.082031250000,170,44.120213,0.133215162880
dp-d6-l128,11,random,16,65536,1024,6,128,2.000,9100,0.138854980469,939,85,0.083007812500,162,45.022364,0.133215162880
dp-d6-l256,11,des,16,65536,1024,6,256,4.000,9974,0.152191162109,1021,3,0.002929687500,170,52.467189,0.017746279621
dp-d6-l256,11,random,16,65536,1024,6,256,4.000,9611,0.146652221680,984,40,0.039062500000,162,50.528455,0.017746279621
